NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 183 GTMIN   201.50  9 2021                                                                                                                                                                             
 183 FCMAX    93.00 11 2021                                                                                                                                                                             
 183 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                                                                                                                                                                                   
 137 POTEF  1338.30 11 2021          GNA I                                                                                                                                                              
 238 POTEF  1672.60 11 2024          GNA P. ACU 3                                                                                                                                                       
 238 GTMIN  1278.58 11 2024 11 2024                                                                                                                                                                     
 238 GTMIN  1598.16  7 2025 10 2025                                                                                                                                                                     
 238 GTMIN  1278.58 11 2025 11 2025                                                                                                                                                                     
 155 POTEF   140.33  9 2021          GOIANIA II                                                                                                                                                         
 155 FCMAX     0.00  9 2021  9 2021                                                                                                                                                                     
 155 FCMAX    93.87 10 2021 10 2021                                                                                                                                                                     
 155 FCMAX    96.77 11 2021 12 2021                                                                                                                                                                     
 155 FCMAX    97.00  1 2022                                                                                                                                                                             
 155 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
  63 POTEF   226.00  9 2021          IBIRITE                                                                                                                                                            
  63 FCMAX    55.39  9 2021  9 2021                                                                                                                                                                     
  63 FCMAX    98.23 10 2021 10 2021                                                                                                                                                                     
  63 FCMAX   100.00 11 2021                                                                                                                                                                             
  63 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
  54 POTEF    87.05  9 2021          JUIZ DE FORA                                                                                                                                                       
  54 FCMAX    97.42  9 2021 10 2021                                                                                                                                                                     
  54 FCMAX    96.50 11 2021 12 2021                                                                                                                                                                     
  54 FCMAX    99.94  1 2022                                                                                                                                                                             
  54 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
  15 POTEF   204.00  9 2021          LINHARES                                                                                                                                                           
  15 FCMAX   100.00  9 2021                                                                                                                                                                     
  15 IPTER    16.94  1 2022  1 2022                                                                                                                                                                     
  15 IPTER    18.75  2 2022  2 2022                                                                                                                                                                     
  15 IPTER    16.13  3 2022  3 2022                                                                                                                                                                     
  15 IPTER    17.50  4 2022  4 2022                                                                                                                                                                     
  15 IPTER    16.94  5 2022  5 2022                                                                                                                                                                     
  15 IPTER    16.67  6 2022  6 2022                                                                                                                                                                     
  15 IPTER    16.94  7 2022  7 2022                                                                                                                                                                     
  15 IPTER    15.32  8 2022  8 2022                                                                                                                                                                     
  15 IPTER    18.33  9 2022  9 2022                                                                                                                                                                     
  15 IPTER    16.94 10 2022 10 2022                                                                                                                                                                     
  15 IPTER    15.83 11 2022 11 2022                                                                                                                                                                     
  15 IPTER    18.55 12 2022 12 2022                                                                                                                                                                     
  15 IPTER    16.94  1 2023  1 2023                                                                                                                                                                     
  15 IPTER    16.07  2 2023  2 2023                                                                                                                                                                     
  15 IPTER    19.35  3 2023  3 2023                                                                                                                                                                     
  15 IPTER    17.50  4 2023  4 2023                                                                                                                                                                     
  15 IPTER    15.32  5 2023  5 2023                                                                                                                                                                     
  15 IPTER    13.33  6 2023  6 2023                                                                                                                                                                     
  15 IPTER    19.35  7 2023  7 2023                                                                                                                                                                     
  15 IPTER     3.23  8 2023  8 2023                                                                                                                                                                     
  15 IPTER     0.00  9 2023  5 2024                                                                                                                                                                     
  15 IPTER    17.50  6 2024  6 2024                                                                                                                                                                     
  15 IPTER    15.32  7 2024  7 2024                                                                                                                                                                     
  15 IPTER    14.52  8 2024  8 2024                                                                                                                                                                     
  15 IPTER    18.33  9 2024  9 2024                                                                                                                                                                     
