NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 247 IPTER     0.00  1 2024  1 2024  
 247 GTMIN    34.57  1 2024  1 2024
 247 IPTER     5.17  2 2024  2 2024  
 247 GTMIN    33.33  2 2024  2 2024
 247 IPTER     1.61  3 2024  3 2024  
 247 GTMIN 00034.57  3 2024  4 2024
 247 IPTER     0.00  4 2024  4 2024  
 247 IPTER    13.71  5 2024  5 2024  
 247 GTMIN    30.33  5 2024  5 2024
 247 IPTER    14.17  6 2024  6 2024  
 247 GTMIN    30.17  6 2024  6 2024
 247 IPTER    13.71  7 2024  7 2024  
 247 GTMIN    30.33  7 2024  7 2024
 247 IPTER    10.48  8 2024  8 2024  
 247 GTMIN    31.47  8 2024  8 2024
 247 IPTER     6.67  9 2024  9 2024  
 247 GTMIN    32.80  9 2024  9 2024
 247 IPTER     1.61 10 2024 10 2024  
 247 GTMIN    34.57 10 2024 10 2024
 247 IPTER     2.50 11 2024 11 2024  
 247 GTMIN    34.27 11 2024 11 2024
 247 IPTER     2.42 12 2024 12 2024  
 247 GTMIN    34.30 12 2024 12 2024
 247 GTMIN 00034.57  1 2025 12 2025
 236 POTEF   565.50 10 2023          MARLIM AZUL
 236 GTMIN 00420.84 11 2023  4 2024
 236 GTMIN 00420.84 11 2024  4 2025
 236 GTMIN 00420.84 11 2025  4 2026
 236 GTMIN 00420.84 11 2026  4 2027
 236 GTMIN 00420.84 11 2027 12 2027
 110 POTEF   479.25  8 2023  8 2023  N.PIRATINING
 110 FCMAX    99.11  8 2023  8 2023  
 110 TEIFT     0.00  8 2023  9 2023  
 110 POTEF   572.10  9 2023          N.PIRATINING
 110 FCMAX    97.51  9 2023  9 2023  
 110 FCMAX    97.00 10 2023 12 2024  
 110 FCMAX    65.51  1 2025          
 171 POTEF   400.00  8 2023          NORTEFLU-1
 171 FCMAX   100.00  8 2023          
 171 TEIFT     0.00  8 2023  9 2023  
 171 GTMIN   386.67  9 2023  9 2023
 171 GTMIN 00399.99 10 2023 12 2027
 172 POTEF   100.00  8 2023          NORTEFLU-2
 172 FCMAX   100.00  8 2023          
 172 TEIFT     0.00  8 2023  9 2023  
 172 IPTER     0.00  1 2024  2 2024  
 172 IPTER    74.19  3 2024  3 2024  
 172 IPTER    73.33  4 2024  4 2024  
 172 IPTER    74.19  5 2024  5 2024  
 172 IPTER    73.33  6 2024  6 2024  
 172 IPTER    74.19  7 2024  8 2024  
 172 IPTER    73.33  9 2024  9 2024  
 172 IPTER     0.00 10 2024 12 2024  
 173 POTEF   200.00  8 2023          NORTEFLU-3
 173 FCMAX   100.00  8 2023          
 173 TEIFT     0.00  8 2023  9 2023  
 173 IPTER     0.00  1 2024  2 2024  
 173 IPTER   100.00  3 2024  9 2024  
 173 IPTER    41.94 10 2024 10 2024  
 173 IPTER     0.00 11 2024 12 2024  
 174 POTEF   126.78  8 2023          NORTEFLU-4
 174 FCMAX    99.38  8 2023  9 2023  
 174 TEIFT     0.00  8 2023  9 2023  
 174 FCMAX   100.00 10 2023          
 174 IPTER     0.00  1 2024  2 2024  
 174 IPTER   100.00  3 2024 10 2024  
 174 IPTER     0.00 11 2024 12 2024  
 229 POTEF    50.00  8 2023          ONCA PINTADA
 229 FCMAX   100.00  8 2023  9 2023  
 229 TEIFT     0.00  8 2023  9 2023  
 229 FCMAX    95.00 10 2023          
 229 IPTER     0.00  1 2024  5 2024  
 229 GTMIN    22.32  4 2024  4 2024
 229 GTMIN 00030.00  5 2024  6 2024
 229 IPTER    33.33  6 2024  6 2024  
 229 IPTER     0.00  7 2024 12 2024  
 229 GTMIN    22.32  4 2025  4 2025
 229 GTMIN 00030.00  5 2025  6 2025
 229 GTMIN    22.32  4 2026  4 2026
 229 GTMIN 00030.00  5 2026  6 2026
 229 GTMIN    22.32  4 2027  4 2027
 229 GTMIN 00030.00  5 2027  6 2027
 182 POTEF   175.56  8 2023          PALMEIRAS GO
 182 FCMAX    11.39  8 2023  8 2023  
 182 TEIFT     0.00  8 2023  9 2023  
 182 FCMAX    55.44  9 2023  9 2023  
 182 FCMAX    80.00 10 2023 12 2025  
 182 FCMAX     0.00  1 2026          
 248 POTEF    15.95  8 2023 12 2025  PAULINIA VER
 248 FCMAX    98.24  8 2023  8 2023  
 248 TEIFT     0.00  8 2023  9 2023  
 248 GTMIN    15.66  8 2023  8 2023
 248 FCMAX    98.43  9 2023  9 2023  
 248 GTMIN    15.69  9 2023  9 2023
 248 FCMAX    98.68 10 2023 12 2025  
 248 GTMIN 00015.62 10 2023 12 2023
 248 GTMIN 00015.50  1 2024 12 2025
  50 POTEF   200.00  8 2023          PIRAT.12 G
  50 FCMAX     0.00  8 2023          
 249 POTEF   115.92  8 2023 12 2025  PORSUD I
 249 TEIFT     0.00  8 2023  9 2023  
 249 IPTER     0.00  1 2024  7 2024  
 249 GTMIN 00101.14  7 2024  9 2024
 249 IPTER     0.54  8 2024  8 2024  
 249 IPTER     0.00  9 2024  9 2024  
 249 IPTER     4.84 10 2024 10 2024  
 249 IPTER     3.89 11 2024 11 2024  
 249 IPTER     0.00 12 2024 12 2024  
 249 GTMIN 00101.14  7 2025  9 2025
 250 POTEF    78.32  8 2023 12 2025  PORSUD II
 250 FCMAX    97.04  8 2023  9 2023  
 250 TEIFT     0.00  8 2023  9 2023  
 250 FCMAX    97.25 10 2023 12 2025  
 250 GTMIN 00066.87  7 2024  9 2024
 250 GTMIN 00066.87  7 2025  9 2025
 251 POTEF    74.96  8 2023 12 2025  POVOACAO 1
 251 TEIFT     0.00  8 2023  9 2023  
 251 GTMIN 00072.00  8 2023  9 2023
 251 GTMIN    70.81 10 2023 10 2023
 251 GTMIN    71.98 11 2023 11 2023
 251 GTMIN    70.81 12 2023 12 2023
 251 IPTER     2.42  1 2024  1 2024  
 251 GTMIN    71.40  1 2024  1 2024
 251 IPTER     1.72  2 2024  2 2024  
 251 GTMIN    71.91  2 2024  2 2024
 251 IPTER     3.23  3 2024  3 2024  
 251 GTMIN    70.81  3 2024  3 2024
 251 IPTER     1.67  4 2024  4 2024  
 251 GTMIN    71.95  4 2024  4 2024
 251 IPTER     6.85  5 2024  5 2024  
 251 GTMIN    68.16  5 2024  5 2024
 251 IPTER     5.42  6 2024  6 2024  
 251 GTMIN    69.21  6 2024  6 2024
 251 IPTER     4.44  7 2024  7 2024  
 251 GTMIN    69.92  7 2024  7 2024
 251 IPTER     5.24  8 2024  8 2024  
 251 GTMIN    69.34  8 2024  8 2024
 251 IPTER     7.50  9 2024  9 2024  
 251 GTMIN    67.68  9 2024  9 2024
 251 IPTER     6.85 10 2024 10 2024  
 251 GTMIN    68.16 10 2024 10 2024
 251 IPTER     8.75 11 2024 11 2024  
 251 GTMIN    66.77 11 2024 11 2024
 251 IPTER     6.45 12 2024 12 2024  
 251 GTMIN    68.45 12 2024 12 2024
 251 GTMIN 00071.98  1 2025 12 2025
 230 POTEF     5.00  8 2023          PREDILECTA
 230 FCMAX     0.00  8 2023          
  62 POTEF   360.00  8 2023          SEROPEDICA
  62 TEIFT     0.00  8 2023  9 2023  
   4 POTEF   436.00  8 2023          ST.CRUZ 34
   4 FCMAX     0.00  8 2023          
  86 POTEF   500.00  8 2023          ST.CRUZ NOVA
  86 TEIFT     0.00  8 2023 11 2023  
 146 POTEF    41.40  8 2023          STA VITORIA
 146 FCMAX   100.00  8 2023  9 2023  
 146 TEIFT     0.00  8 2023  9 2023  
 146 GTMIN 00040.00  8 2023  9 2023
 146 FCMAX    93.00 10 2023          
 146 GTMIN 00013.00 10 2023 12 2023
 146 IPTER   100.00  1 2024  2 2024  
 146 IPTER     0.00  3 2024 12 2024  
 146 GTMIN 00013.00  3 2024 12 2027
 194 POTEF   349.00  8 2023          T. NORTE 2
 194 FCMAX     0.00  8 2023          
  90 POTEF   928.70  8 2023  6 2026  TERMOMACAE
  90 FCMAX    96.91  8 2023  9 2023  
  90 TEIFT     0.00  8 2023  9 2023  
  90 FCMAX    99.99 10 2023  6 2026  
  90 IPTER     7.83  1 2026  6 2026  
  90 POTEF   922.62  7 2026          TERMOMACAE
  90 FCMAX   100.00  7 2026          
  90 IPTER     3.40  7 2026          
  90 TEIFT     9.30  7 2026          
  47 POTEF   989.20  8 2023  6 2026  TERMORIO
  47 FCMAX    99.98  8 2023  9 2023  
  47 TEIFT     0.00  8 2023  9 2023  
  47 FCMAX   100.00 10 2023  6 2026  
  47 GTMIN 00100.50 10 2023 10 2024
  47 IPTER     5.44  1 2026  6 2026  
  47 POTEF  1058.30  7 2026          TERMORIO
  47 FCMAX    93.47  7 2026          
  47 IPTER     5.20  7 2026          
  47 TEIFT     6.00  7 2026          
  68 POTEF   350.00  8 2023          TRES LAGOAS
  68 TEIFT     0.00  8 2023  9 2023  
  68 IPTER     0.00  1 2024  2 2024  
  68 IPTER    11.62  3 2024  3 2024  
  68 IPTER    16.38  4 2024  5 2024  
  68 IPTER    15.28  6 2024  6 2024  
  68 IPTER    16.38  7 2024  7 2024  
  68 IPTER    15.85  8 2024  8 2024  
  68 IPTER     0.00  9 2024 12 2024  
  49 POTEF   174.60  8 2023          VIANA
  49 FCMAX   100.00  8 2023          
  49 TEIFT     0.00  8 2023  9 2023  
 253 POTEF    37.48  8 2023 12 2025  VIANA 1
 253 TEIFT     0.00  8 2023  9 2023  
 253 GTMIN 00036.00  8 2023  9 2023
 253 GTMIN 00035.99 10 2023 11 2023
 253 GTMIN    35.38 12 2023 12 2023
 253 IPTER     0.00  1 2024  1 2024  
 253 GTMIN 00035.99  1 2024  2 2024
 253 IPTER     0.86  2 2024  2 2024  
 253 IPTER     2.42  3 2024  3 2024  
 253 GTMIN    35.67  3 2024  3 2024
 253 IPTER     0.00  4 2024  4 2024  
 253 GTMIN    35.99  4 2024  4 2024
 253 IPTER     8.06  5 2024  5 2024  
 253 GTMIN    33.61  5 2024  5 2024
 253 IPTER     7.50  6 2024  6 2024  
 253 GTMIN    33.81  6 2024  6 2024
 253 IPTER    10.48  7 2024  7 2024  
 253 GTMIN    32.72  7 2024  7 2024
 253 IPTER    13.71  8 2024  8 2024  
 253 GTMIN    31.54  8 2024  8 2024
 253 IPTER    13.33  9 2024  9 2024  
 253 GTMIN    31.68  9 2024  9 2024
 253 IPTER     0.81 10 2024 10 2024  
 253 GTMIN    35.99 10 2024 10 2024
 253 IPTER     1.67 11 2024 11 2024  
 253 GTMIN    35.95 11 2024 11 2024
 253 IPTER     1.61 12 2024 12 2024  
 253 GTMIN    35.97 12 2024 12 2024
 253 GTMIN 00035.99  1 2025 12 2025
 334 POTEF   177.12  8 2023          W. ARJONA
 334 FCMAX     0.00  8 2023  6 2026  
 334 FCMAX    90.00  7 2026          
 334 IPTER     3.49  7 2026          
 334 TEIFT     2.50  7 2026          
 108 POTEF    53.58  8 2023          XAVANTES
 108 FCMAX    99.86  8 2023  9 2023  
 108 TEIFT     0.00  8 2023  9 2023  
 108 FCMAX    99.99 10 2023          
  48 POTEF   484.15  8 2023          ARAUCARIA
  48 FCMAX     0.00  8 2023          
 254 POTEF    10.32  8 2023 12 2025  B. BONITA I
 254 TEIFT     0.00  8 2023  9 2023  
 254 GTMIN 00003.70  8 2023 12 2025
 254 IPTER     2.76  1 2024  1 2024  
 254 IPTER     6.90  2 2024  2 2024  
 254 IPTER     2.76  3 2024  3 2024  
 254 IPTER    10.48  4 2024  4 2024  
 254 IPTER    14.29  5 2024  5 2024  
 254 IPTER     7.14  6 2024  6 2024  
 254 IPTER     4.61  7 2024  7 2024  
 254 IPTER    13.82  8 2024  8 2024  
 254 IPTER     6.67  9 2024  9 2024  
 254 IPTER     5.53 10 2024 10 2024  
 254 IPTER     3.81 11 2024 11 2024  
 254 IPTER     3.69 12 2024 12 2024  
 156 POTEF   350.00  8 2023          CANDIOTA 3
 156 FCMAX   100.00  8 2023          
 156 TEIFT     0.00  8 2023  9 2023  
 156 GTMIN   320.00  8 2023  8 2023
 156 GTMIN   300.67  9 2023  9 2023
 156 GTMIN 00210.00 10 2023  1 2024
 156 IPTER     0.00  1 2024  1 2024  
 156 IPTER   100.00  2 2024  2 2024  
 156 IPTER    51.61  3 2024  3 2024  
 156 GTMIN   136.91  3 2024  3 2024
